breed;animal_type
фокстерьер жесткошерстный;2
французская гончая;2
французский бульдог;2
французский эпаньоль;2
француский бульдог;2
фу куок;2
халенденстёваре, хальденская гончая;2
ханаанская собака;2
харрьер;2
хаски антарктическая;2
ховаварт;2
хорватская овчарка;2
хортая;2
хюгенхунд;2
хюнерхунд;2
цвергпинчер;2
цвергшнауцер;2
цвергшпиц;2
чау-чау;2
черный терьер;2
чесапик бей ретривер;2
чехословацкий влчак;2
чешский терьер;2
чешский фоусек;2
чинук;2
чихуахуа;2
чи-хуа-хуа;2
шапендус;2
шарпей;2
шарпланинская овчарка;2
швайсхунд;2
шведский вальхунд;2
швейцарская овчарка;2
швейцарский лауфхунд;2
шелти;2
шельти;2
шиллерстёваре;2
шипперке;2
ши-тцу;2
шотландский дирхаунд;2
шотландский терьер;2
шпиц;2
штихельхаар;2
Щвейцарский зенненхунд;2
энтлебухер зенненхунд;2
эпаньоль нэн;2
эрдели копо, трансильванская гончая;2
эрдельтерьер;2
эскимосская лайка;2
эстонская гончая;2
югославская грехцветная гончая;2
южная гончая;2
южнорусская овчарка;2
ягдтерьер;2
японский спаниель;2
японский стерьер;2
японский хин;2
японский шпиц;2
абиссинская;2
американская жесткошерстная;2
американская короткошерстная;2
американский бобтейл;2
американский кёрл;2
ангорская;2
балинезийская;2
бенгальская;2
беспородная;2
бирма;2
бирманская пятнисто-краповая;2
бомбейская;2
британская голубая;2
британская короткошерстная;2
бурма;2
бурмилла;2
гаванна;2
герман рекс;2
девон рекс;2
домашняя;2
донский сфинкс;2
другая;2
европейская короткошерстная;2
египетская мау;2
канадский сфинкс;2
кимрик;2
корат;2
корниш-рекс;2
курильский бобтейл;2
манкс;2
манчкин;2
мейн кун;2
меконгский бобтейл;2
мексиканская;2
метис;2
мингонский бобтейл;2
мэйн кун;2
невская маскарадная;2
норвежская лесная дымчато-голубая;2
ориенталская короткошерстная;2
ориентальская длинношерстная;2
охос азулес;2
оцикет;2
персидская;2
пиксибоб;2
русская голубая;2
рысь домашняя;2
рэгдол;2
селкирк-рекс;2
сиамская;2
сибирская;2
сингапура;2
скоттиш страйт;2
скоттиш фолд;2
сноу-шу;2
сомали;2
сфинкс;2
тайская;2
тифани;2
тонкинез;2
турецкий ван;2
цейлонская;2
шартрез;2
шиншилла;2
шотландская вислоухая;2
экзотическая короткошерстная;2
японский бобтейл,
